subject,name,caption,rating
118,GPT-4V (complex CoT),"""Afterlife existential crisis: realizing eternal bliss includes an eternity of small talk.""",0
316,GPT-4V (complex CoT),"""Divine intervention still doesn't cover roadside assistance, it seems.""",0
266,GPT-4V (complex CoT),"""Apparently, the architect's inspiration was a game of Jenga.""",0
91,GPT-4V (complex CoT),"""In this town, we measure twice and ticket once.""",0
103,GPT-4V (complex CoT),"""I hope this bird knows a good branch manager.""",0
497,GPT-4V (complex CoT),"""Perhaps 'streamlining administration' was a bit too ambitious.""",0
505,GPT-4V (complex CoT),"""No, no, this is all wrong. We said inflate the visitor numbers, Harold, not the visitors.""",0
50,GPT-4V (complex CoT),"""Ever since the smart home update, our conversations have been a little one-sided.""",0
681,GPT-4V (complex CoT),"""Today's forecast: Breezy with a slight chance of surrealism.""",0
586,GPT-4V (complex CoT),"""They warned about AI taking over... but this sucks on a whole new level.""",0
567,GPT-4V (complex CoT),"""He always wanted to make a splash with his presentations, but this may be a bit much.""",0
451,GPT-4V (complex CoT),"""In lieu of flowers, please bring more mud.""",0
42,GPT-4V (complex CoT),"""You can’t dismiss the snooze if the boss is built-in.""",0
467,GPT-4V (complex CoT),"""Find your perch, everyone. Today's lecture: 'The Illusion Of Freedom.'""",0
545,GPT-4V (complex CoT),"""In the latest cost-cutting measure, the company replaced middle management with ferns.""",0
697,GPT-4V (complex CoT),"""Guess the 'clothing optional' car is about to depart.""",0
390,GPT-4V (complex CoT),"""So this is what they mean by 'full-blown' service.""",0
363,GPT-4V (complex CoT),"""After the digital detox initiative, this tech-free 'workflow' seems to have backfired.""",0
110,GPT-4V (complex CoT),"""Sure, they say you can't fix a broken heart, but nobody mentioned anything about a busted motherboard.""",0
131,GPT-4V (complex CoT),"""Darling, the forecast did say scattered showers with a chance of classic hits.""",0
706,GPT-4V (complex CoT),"""Must be the latest in eco-friendly public transportation.""",0
598,GPT-4V (complex CoT),"""After hours of searching, I've finally found the rare, flat-surface habitat of the elusive stability ball.""",0
175,GPT-4V (complex CoT),"""They say dress for the job you want, not the one you have – I'm aiming for Mars Rover pilot.""",0
754,GPT-4V (complex CoT),"""When the instructions said 'some assembly required,' I didn't expect a brainteaser.""",0
750,GPT-4V (complex CoT),"""Ewe can't teach an old dog new tricks, but you can teach them to blend in.""",0
685,GPT-4V (complex CoT),"""When they said the trail was bear-accessible, I didn't expect a concierge.""",0
456,GPT-4V (complex CoT),"""Pre-op or brunch? Clearly, there's been an over-easy mistake.""",0
746,GPT-4V (complex CoT),"""Estate agent said it's a 'fixer-upper with sky-high potential.'""",0
362,GPT-4V (complex CoT),“Desert skiing: when your love for winter is just a mirage.”,0
215,GPT-4V (complex CoT),"""In the land of giants, the one-man team is king.""",0
212,GPT-4V (complex CoT),"""Therapy’s been great—next session, we're navigating my mother issues at warp speed.""",0
430,GPT-4V (complex CoT),"""In this corner office, it's always a bull market.""",0
341,GPT-4V (complex CoT),"""After years of yoga, Gerald finally mastered the elusive 'Flying Tortoise' pose.""",0
717,GPT-4V (complex CoT),"""Maybe he's just waiting for the Savannah view room to open up.""",0
464,GPT-4V (complex CoT),“Tonight's special: the vanishing middle class.”,0
517,GPT-4V (complex CoT),"""We're hoping for a verdict before the afterlife, Your Honor.""",0
557,GPT-4V (complex CoT),“Remember when we didn't have to ponder the mysteries of baking?”,0
139,GPT-4V (complex CoT),"""Nature's latest exhibit: 'The Fragility of Man', quite a revealing collection.""",0
93,GPT-4V (complex CoT),"""Boardroom or modern art exhibit? Now accepting bids on 'The Hollow Men.'""",0
438,GPT-4V (complex CoT),"""Turns out, 'Watch cat' in the ad was not a typo.""",0
176,GPT-4V (complex CoT),"""Perhaps we're taking 'bird's-eye view' a little too literally?""",0
721,GPT-4V (complex CoT),"""Sandbox? I think you mean foundation for my summer castle.""",0
374,GPT-4V (complex CoT),"""At least we can say the service was to die for.""",0
233,GPT-4V (complex CoT),"""Perhaps we should've discussed the 'bailout' plan before the profits meeting.""",0
114,GPT-4V (complex CoT),"""I only save swimmers with a bucket list.""",0
5,GPT-4V (complex CoT),"""Apparently, 'surfing the web' is subject to interpretation around here.""",0
561,GPT-4V (complex CoT),“Talk about a rough draft for the next Cerberus design.”,0
521,GPT-4V (complex CoT),"""Our 'bring your own umbrella' policy just got out of hand.""",0
194,GPT-4V (complex CoT),"""When they said 'water hazard,' I didn't think they meant the entire course!""",0
105,GPT-4V (complex CoT),"""Seems we've underestimated this 'wave' of new backyard trends.""",0
416,GPT-4V (complex CoT),"""I should have been more specific when I asked for 'sharp insights into my love life.'""",0
695,GPT-4V (complex CoT),"""I'm just here for the bread and butter issues, but it seems I've become the main course.""",0
757,GPT-4V (complex CoT),"""Maybe we should've double-checked when they announced 'Cloudy with a chance of Armageddon'.""",0
70,GPT-4V (complex CoT),"""When they said 'vegetative state,' this isn't what I pictured.""",0
161,GPT-4V (complex CoT),"""Our takeover of the 'Human Resources' department seems to be going swimmingly.""",0
37,GPT-4V (complex CoT),"""Perhaps, Your Honors, you'd like to revisit the part about 'seeing eye to eye' on the evidence?""",0
431,GPT-4V (complex CoT),"""Maybe the real party was the friends we ignored along the way.""",0
748,GPT-4V (complex CoT),"""We're going to need more than just thyme to get out of this one.""",0
558,GPT-4V (complex CoT),"""He's negotiating his nap terms.""",0
504,GPT-4V (complex CoT),"""The board said to come armed with strong points.""",0
537,GPT-4V (complex CoT),"""We're just rolling with the latest home trends.""",0
414,GPT-4V (complex CoT),"""We're revolutionizing the hunt for lost remotes – you can see this one from space!""",0
399,GPT-4V (complex CoT),"""Shall we play on the grand scale, or are you still focusing on pawns?""",0
229,GPT-4V (complex CoT),"""In the spirit of collaboration, we've consolidated our sleeping arrangements for this team-building retreat.""",0
315,GPT-4V (complex CoT),"""Statue of Liberty embraces 'New York tough' with a bold rebranding.""",0
361,GPT-4V (complex CoT),"""Some assembly required, they said – forgot to mention it's the room that needs assembling around the car.""",0
180,GPT-4V (complex CoT),"""When they said it was an 'all-inclusive' cruise, I didn't think they meant the afterlife inclusive.""",0
700,GPT-4V (complex CoT),"""You should see my other half during allergy season!""",0
701,GPT-4V (complex CoT),"""I trust the chef here – we’ve been dodging traps together for years.""",0
122,GPT-4V (complex CoT),“Permission to approach the bench... with a stepladder?”,0
75,GPT-4V (complex CoT),"""While profits may not be picking up yet, at least something is.""",0
177,GPT-4V (complex CoT),"""In hindsight, 'immersing ourselves in the data' was perhaps too open to interpretation.""",0
419,GPT-4V (complex CoT),"""As part of our initiative to reduce repeat visits, we're really doubling down on prevention.""",0
514,GPT-4V (complex CoT),"""When they promised us a 'rocking' team-building exercise, this isn't quite what I had in mind.""",0
391,GPT-4V (complex CoT),"""Guess he finally found a way to avoid the 'Who's a good boy?' conversation.""",0
729,GPT-4V (complex CoT),"""Redefining the balance of power one nap at a time.""",0
441,GPT-4V (complex CoT),"""Well, at least we now know there's such a thing as too much transparency in a relationship.""",0
42,GPT-4V (few-shot),"""I'm beginning to think there's a reason this position constantly needs refilling.""",0
451,GPT-4V (few-shot),He says he's saving for a truffle hunt in France.,0
681,GPT-4V (few-shot),They said being a freelancer would have its ups and downs.,0
497,GPT-4V (few-shot),"“And you said this model never derails under pressure.""",0
586,GPT-4V (few-shot),Their spring cleaning gets more aggressive every year.,0
103,GPT-4V (few-shot),"It says here to watch out for falling rocks, but nothing about flying squirrels.",0
233,GPT-4V (few-shot),Looks like the bull market just ran out of steam.,0
91,GPT-4V (few-shot),"""You have the right to remain silent, but I gotta warn you, anything you say will be adorable.""",0
567,GPT-4V (few-shot),You should see how he reacts to contactless payment.,0
505,GPT-4V (few-shot),"It doesn't count if it's not on the couch, right?",0
467,GPT-4V (few-shot),The early bird gets the cage.,0
131,GPT-4V (few-shot),Maybe this storm will finally solve the debate over public radio.,0
697,GPT-4V (few-shot),"""Looks like I misunderstood 'casual Friday.'""",0
390,GPT-4V (few-shot),"""And that's when I said, 'Let's take this outside.'""",0
545,GPT-4V (few-shot),"He says he's sick of being potted. Now, let's talk about going green.",0
110,GPT-4V (few-shot),It's the latest in convalescent chic.,0
363,GPT-4V (few-shot),"It's your turn to play inbox, I insist.",0
717,GPT-4V (few-shot),I hear this chiropractor is great with neck problems.,0
706,GPT-4V (few-shot),"""I told you taking the A-train would be faster than hiking.""",0
750,GPT-4V (few-shot),The disguise workshop really paid off.,0
754,GPT-4V (few-shot),Budget cuts are really starting to hurt.,0
456,GPT-4V (few-shot),I told you not to put your gyroscope on the nightstand.,0
175,GPT-4V (few-shot),"""Trust me, this is still easier than updating my privacy settings.""",0
685,GPT-4V (few-shot),"""He seems friendly, but I wouldn't trust him with our sandwiches.""",0
362,GPT-4V (few-shot),"If we keep this up, we might just make it to next winter.",0
746,GPT-4V (few-shot),Occupied!,0
557,GPT-4V (few-shot),"I said I wanted a byte, not a bite.",0
215,GPT-4V (few-shot),"""Well, it's certainly one way to deal with foot traffic.""",0
212,GPT-4V (few-shot),"You were right, clearer signal and no more tailgating.",0
341,GPT-4V (few-shot),He always insists on flying business class.,0
430,GPT-4V (few-shot),"""No, no, I said bring me the BEAR market reports.""",0
757,GPT-4V (few-shot),"""It's like we're the only two people in our own little world.""",0
464,GPT-4V (few-shot),"""He's really nailing that audition for the 'Magic and Carpentry' reality show.""",0
517,GPT-4V (few-shot),"""Just act natural, you've got 'innocent until proven guilty' in the bag.""",0
176,GPT-4V (few-shot),I told you switching to a paperless office would have consequences.,0
93,GPT-4V (few-shot),It's not invisibility cloaks. We're just being ignored again.,0
721,GPT-4V (few-shot),"Even in solitary, it's important to know when to draw the line.",0
598,GPT-4V (few-shot),"""I said I need 'space', not 'the Space'.""",0
561,GPT-4V (few-shot),Parcel delivery has really gone to the dogs.,0
438,GPT-4V (few-shot),"""Ever consider that maybe it's your turn to be outside looking in?""",0
695,GPT-4V (few-shot),"""Talk about feeling underdressed—I showed up as white bread!""",0
194,GPT-4V (few-shot),Could you point me towards the water-cooler?,0
521,GPT-4V (few-shot),"When they said 'cloud storage,' I had something else in mind.",0
441,GPT-4V (few-shot),This intermittent fasting trend has really gone too far.,0
374,GPT-4V (few-shot),"He was a man of exquisite taste, in life and in centerpieces.",0
748,GPT-4V (few-shot),We might need a bigger pot.,0
114,GPT-4V (few-shot),"D is for ""Dive... eventually.""",0
139,GPT-4V (few-shot),I told you we should have stopped at the last oasis for directions.,0
70,GPT-4V (few-shot),Looks like the TV's not the only thing that's gone fuzzy.,0
416,GPT-4V (few-shot),"""Clearly, avoidance isn't working for you.""",0
105,GPT-4V (few-shot),I told you the HOA was strict about lawn height.,0
431,GPT-4V (few-shot),I think his 'visionary' status is self-proclaimed.,0
161,GPT-4V (few-shot),"I'm the complete package - fierce negotiator, loyal as a hound, and I work for peanuts.",0
558,GPT-4V (few-shot),"""No, you hang up first.""",0
37,GPT-4V (few-shot),"Finally, a lawyer who talks less than I do.",0
391,GPT-4V (few-shot),"""So that's where he gets all his great escape stories from.""",0
414,GPT-4V (few-shot),"""It even has a 'find your glasses' button.""",0
504,GPT-4V (few-shot),He always had a flair for dramatic exits.,0
537,GPT-4V (few-shot),"So, tell me about the time you felt flattened by societal expectations.",0
229,GPT-4V (few-shot),"""And in closing, I believe we can all fit under this blanket policy.""",0
122,GPT-4V (few-shot),"It's a prescription for my new, all-apple diet.",0
514,GPT-4V (few-shot),The new budget cuts hit the Wild West reenactments the hardest.,0
315,GPT-4V (few-shot),Maybe she's just looking for a decent salad bar.,0
75,GPT-4V (few-shot),"It's called multitasking, people. Ever heard of it?",0
177,GPT-4V (few-shot),He always gets cold feet before a meeting.,0
361,GPT-4V (few-shot),"The doctor says it's just a mid-life crisis, but it's really acute car-pal tunnel syndrome.",0
399,GPT-4V (few-shot),"""I'm telling you, the GPS said this way, but I think we're still not playing this game right.""",0
700,GPT-4V (few-shot),"""I said I feel a little hoarse, not 'I'm a little horse!'""",0
180,GPT-4V (few-shot),I told you we should have packed the sunscreen.,0
419,GPT-4V (few-shot),"Just a small pinch, you'll barely feel it.",0
729,GPT-4V (few-shot),"""Let's not get ahead of ourselves with this 'king of the castle' idea.""",0
550,GPT-4V (few-shot),He's still not a good listener.,0
551,GPT-4V (few-shot),Looks like the new ferry service is still working out some kinks.,0
444,GPT-4V (few-shot),Looks like the office followed him on vacation.,0
701,GPT-4V (few-shot),"I'll start with the cheese... and for my main course, the cheese.",0
462,GPT-4V (few-shot),He says the invention is called 'laundry.',0
360,GPT-4V (few-shot),"""I told you setting the GPS voice to 'surprise me' was a bad idea.""",0
329,GPT-4V (few-shot),I guess they found more bones in the sock drawer.,0
730,GPT-4V (few-shot),"""I'm here for the job interview. I have extensive experience running through mazes.""",0
573,GPT-4V (few-shot),"""Just relax—think of it as a very exclusive spa treatment designed for overthinkers.""",0
33,GPT-4V (few-shot),This is what happens when you cut the budget for corporate espionage.,0
370,GPT-4V (few-shot),His high-fives are the stuff of legends.,0
270,GPT-4V (few-shot),No wonder that course was called 'Cutting Costs in Midair Operations'.,0
493,GPT-4V (few-shot),I knew we should have gone with the circle formation instead.,0
524,GPT-4V (few-shot),Talk about a bad hair day.,0
54,GPT-4V (few-shot),"You had to choose the economy model, didn't you?",0
136,GPT-4V (few-shot),"""Stocks are down? It's more like my confidence.""",0
367,GPT-4V (few-shot),He's been couch surfing for far too long.,0
19,GPT-4V (few-shot),I miss the days when our dog would chew shoes instead of bandwidth.,0
696,GPT-4V (few-shot),Your entree today will be served with a side of awe and wonder.,0
201,GPT-4V (few-shot),"He finally got the corner office, just not the view.",0
311,GPT-4V (few-shot),"Ever since the kids moved out, I feel like we're just grazing in the same field.",0
118,GPT-4V (few-shot),"Turns out, cloud storage was a literal term up here.",0
150,GPT-4V (few-shot),"""I'm beginning to think he might have a point about his 'hunting instinct'.""",0
316,GPT-4V (few-shot),"I think we took ""all-terrain"" too literally.",0
5,GPT-4V (few-shot),Just riding the wave of the latest market trend.,0
266,GPT-4V (few-shot),Turns out the boss is more of a hands-on type.,0
210,GPT-4V (few-shot),The company insists we think outside the box.,0
50,GPT-4V (few-shot),"""Honey, the camouflage isn't working. He sees right through me.""",0
405,GPT-4V (few-shot),"""I'm going to need a bigger oven.""",0
467,New Yorker winner,Is it weird that we have a pet?,0
505,New Yorker winner,"Yes, they're new shoes, but it's no one you know.",0
497,New Yorker winner,We uncoupled.,0
233,New Yorker winner,You the Ponzi varmint that lost our nest egg?,0
697,New Yorker winner,No one crosses the Pirates of Penn Station.,0
545,New Yorker winner,It's amazing to think he started out in the lobby.,0
717,New Yorker winner,"I know it's not an elephant, but we still need to talk about it.",0
754,New Yorker winner,Since when did the pizza delivery guy get his own pole?,0
685,New Yorker winner,"Oh, no. I have its little one in my backpack.",0
430,New Yorker winner,"Not so fun when you're the one being charged, is it?",0
215,New Yorker winner,"But, first, a word on foot odor.",0
757,New Yorker winner,"Don't worry, it's just a front.",0
139,New Yorker winner,If he wasn't an internist he is now.,0
176,New Yorker winner,This is what I get for convicting the janitor.,0
441,New Yorker winner,It’s mostly water weight.,0
194,New Yorker winner,"First we discuss my percentage of any water you find, real or imagined.",0
416,New Yorker winner,"Not O.K., Cupid!",0
70,New Yorker winner,They do say results will vary.,0
161,New Yorker winner,So why did you leave Red Lobster?,0
229,New Yorker winner,"O.K., counsellor, we heard your argument. Now tell us a story.",0
315,New Yorker winner,They say jolliness skips a generation.,0
399,New Yorker winner,This can only end in a draw.,0
122,New Yorker winner,"Yeah, well, it got me through college and law school, and it'll get me through here, too.",0
177,New Yorker winner,It's sloppy work like that that gives the mob a bad name.,0
444,New Yorker winner,"Nice catch, son, now close the deal.",0
550,New Yorker winner,What makes you think you were not our first choice?,0
360,New Yorker winner,I am from Doctors Without Offices.,0
33,New Yorker winner,I never know what to pack.,0
136,New Yorker winner,"Janice, hold all my calls. Indefinitely.",0
367,New Yorker winner,We'll eventually miss him.,0
696,New Yorker winner,"If there's a ring in here, Hank, I swear to God . . .",0
405,New Yorker winner,The gravy boat is docked at the wharf.,0
5,New Yorker winner,Tell my 1:30 things got way gnarly...,0
266,New Yorker winner,There's a warm front coming through this afternoon.,0
681,New Yorker winner,You pinch me one more time and you're going to find yourself in hot water.,0
103,New Yorker winner,It's a thongbird.,0
451,New Yorker winner,His surgery paid for itself.,0
131,New Yorker winner,And tomorrow there's a twenty-per-cent chance of anvils.,0
598,New Yorker winner,It's for my back. You have two more questions.,0
110,New Yorker winner,I wish I had those knees.,0
750,New Yorker winner,"Every night, when I try to sleep, I can't stop thinking about work.",0
746,New Yorker winner,So that's where all the furniture went.,0
464,New Yorker winner,My bedroom? That’s where the sleep happens.,0
557,New Yorker winner,What do you mean it's your mother's recipe?,0
341,New Yorker winner,"Quit joking, you guys, and grab my legs again.",0
438,New Yorker winner,Sorry about your garage. We're having him declawed tomorrow.,0
721,New Yorker winner,I'm starting to regret that haircut.,0
114,New Yorker winner,He's the lifeguard during high tide.,0
695,New Yorker winner,You're in luck. A slot for you just opened up in our kitchen.,0
521,New Yorker winner,Check to see if it's still raining.,0
37,New Yorker winner,"Are you now, or have you ever been?",0
558,New Yorker winner,Honey? The baby's outsmarted me again.,0
391,New Yorker winner,"Why do I wonder at times whether you are fully honest with me, Henry?",0
361,New Yorker winner,"As long as it has 4 wheels, 2 headlights and 1 steering wheel, we're happy.",0
537,New Yorker winner,Try to look surprised.,0
514,New Yorker winner,I ain't going back to timeout!,0
180,New Yorker winner,Here's to Little Miss 'Don't you touch my hat.’,0
729,New Yorker winner,"We can't be overthrown, but we can be swayed.",0
551,New Yorker winner,Row v. Wave.,0
573,New Yorker winner,The doctor says I have only three months to party.,0
730,New Yorker winner,"And, when you get hungry, the cafeteria is to your right, left, left, right, left, straight, right, straight, left, and then you push on the big lever.",0
493,New Yorker winner,I prefer his later jumps.,0
524,New Yorker winner,"Take the picture, dammit, take the picture!",0
54,New Yorker winner,Maybe this thing isn't a compass.,0
201,New Yorker winner,Maybe we should do the firings in the basement?,0
150,New Yorker winner,"Bullets don't grow on trees, Harry.",0
210,New Yorker winner,"Brother, can you spare a lime?",0
50,New Yorker winner,"I'd divorce you, but we need the firewood.",0
91,New Yorker winner,"Yeah, yeah—and I invented the ticket.",0
586,New Yorker winner,I have a feeling they are going to treat us like dirt.,0
567,New Yorker winner,And where was the outrage over Alan's standing desk?,0
42,New Yorker winner,Cancel my twelve-oh-one.,0
363,New Yorker winner,Last internship I was a coatrack.,0
390,New Yorker winner,"My name is Gary, and I'll be annoying you.",0
706,New Yorker winner,"Of course—we wait forever, then two come at the same time.",0
175,New Yorker winner,"In this economy, you have to let the vacation come to you.",0
456,New Yorker winner,I faked my applause.,0
362,New Yorker winner,This is why I hate cross-country skiing.,0
212,New Yorker winner,I think this can all be traced back to my mother ship.,0
517,New Yorker winner,Your priors are going to be a problem.,0
93,New Yorker winner,"Marketing sent me. I'm the new, fresh face of death.",0
374,New Yorker winner,He's done.,0
561,New Yorker winner,I'll let go of the stick when you let go of the stick.,0
105,New Yorker winner,It's time that child went on a diet.,0
748,New Yorker winner,Not the return to inside dining I was expecting.,0
431,New Yorker winner,I’ll see you later.,0
504,New Yorker winner,I've found another man.,0
414,New Yorker winner,It comes with its own remote.,0
700,New Yorker winner,Looks like you're already familiar with the side effects.,0
75,New Yorker winner,And all because of the account that got awa-a-a-a-a-a-a-a-a-a-a-y ...,0
419,New Yorker winner,You will feel a thing.,0
701,New Yorker winner,"I know I don't look familiar, but, believe me, I eat here all the time.",0
462,New Yorker winner,My agent says it will be worth a lot more after I’m dead.,0
329,New Yorker winner,This particular species is believed to have travelled in troupes.,0
19,New Yorker winner,See Spot run. See Spot run. Who wrote this crap?,0
270,New Yorker winner,"I have to say, I'm not a big fan of cloud computing.",0
370,New Yorker winner,You both know Jane,0
311,New Yorker winner,He was a terrible pet—why did we think he'd make a great coffee table?,0
118,New Yorker winner,Why did you think angels had wings?,0
316,New Yorker winner,I was hoping for eternal rest.,0
