,image,caption,contest_number,rank,from_description,image_description,image_location,image_uncanny_description,explanation,questions
24,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=684x489 at 0x12BBCA920>,You the Ponzi varmint that lost our nest egg?,233,winner,"scene: a corporate meeting room description: An executive is looking at a profit chart. Some farmers are coming into the room with a donkey. uncanny: The farmers are not dressed for the modern day. entities: Profit_(accounting), Prospecting, Retirement. caption: You the Ponzi varmint that lost our nest egg?",An executive is looking at a profit chart. Some farmers are coming into the room with a donkey.,a corporate meeting room,The farmers are not dressed for the modern day.,"A reference to Charles Ponzi, the namesake of the ""Ponzi scheme"", which is a failed scam investment. Ponzi is at the desk watching profits go down, and the country folks whose money he was playing with are at the door and want answers for where their money is. A reference to how big city bankers play fast and loose with the investments of people who they will never know or meet.",['What business do the farmers have in this room?']
25,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=684x489 at 0x12BBCA920>,Looking for new management consultants?,233,bad,,,,,,
26,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x605 at 0x12BBCA9B0>,No one crosses the Pirates of Penn Station.,697,winner,"scene: a subway description: A man walks the plank off of a subway train. There are pirates right behind him and he is blindfolded. the ground is not that far away from the plank below. uncanny: walking off the plank is meant to be from a ship into a deep water below but here walking off the plank is not as dangerous. entities: Walking_the_plank, Piracy. caption: No one crosses the Pirates of Penn Station.",A man walks the plank off of a subway train. There are pirates right behind him and he is blindfolded. the ground is not that far away from the plank below.,a subway,walking off the plank is meant to be from a ship into a deep water below but here walking off the plank is not as dangerous.,"""Penn Station"" sounds like ""Caribbean"" --- here, a person is being made to walk the plank in a subway station, which is a punishment enacted by this group of pirates (of Penn Station, a popular subway station in New York City). There are no pirates in Penn Station, but it works because ""Pirates of Penn Station"" sounds like ""Pirates of the Caribbean,"" a popular film franchise.",['Why do the pirates want him to walk off the plank?']
27,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x605 at 0x12BBCA9B0>,Three more paces to the double arrr.,697,bad,,,,,,
28,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x600 at 0x12BBCAAA0>,You may be questioning whether I'm qualified to be here.,545,bad,,,,,,
29,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x600 at 0x12BBCAAA0>,It's amazing to think he started out in the lobby.,545,winner,"scene: a meeting room description: A bunch of executives are around a board room table. They're staring at a plant seated at the end. uncanny: There is a plant instead of a CEO. entities: Houseplant, White-collar_worker. caption: It's amazing to think he started out in the lobby.",A bunch of executives are around a board room table. They're staring at a plant seated at the end.,a meeting room,There is a plant instead of a CEO.,"""Starting in the lobby"" usually would refer to a someone who climbed the entire corporate ladder starting as a low-level employee like a secretary in the lobby. But here, the plant is the boss; lobbies of office buildings often have decorations like this, so, like a human could, the plant also started in the lobby.",['Why is a plant in a chair?']
30,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x645 at 0x12BBC9FF0>,They told me he wouldn't get bigger than 50 pounds when I adopted him.,717,bad,,,,,,
31,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x645 at 0x12BBC9FF0>,"I know it's not an elephant, but we still need to talk about it.",717,winner,"scene: apartment flat description: A couple is sitting on their couch. A giraffe is peeking up from a hole in the floor. uncanny: Giraffes probably wouldn't fit in a basement. entities: Giraffe, Neighbourhood. caption: I know it's not an elephant, but we still need to talk about it.",A couple is sitting on their couch. A giraffe is peeking up from a hole in the floor.,apartment flat,Giraffes probably wouldn't fit in a basement.,"A play on the phrase ""elephant in the room,"" which refers to a topic that's obvious to everyone, but is hard/uncomfortable to discuss. Here, it's not a literal elephant, it's a giraffe. Nonetheless, the man is suggesting that despite the misalignment with the idiom, they need to talk about doing something about the giraffe in their living room.",['Where did the giraffe come from?']
32,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x660 at 0x12BBCAB60>,Since when did the pizza delivery guy get his own pole?,754,winner,"scene: a fire station description: There are two firefighters ready to slide down two poles at the firehouse. uncanny: One of the holes where the poles are is square instead of round, which is not standard. entities: Fireman%27s_pole, Square, Circle. caption: Since when did the pizza delivery guy get his own pole?",There are two firefighters ready to slide down two poles at the firehouse.,a fire station,"One of the holes where the poles are is square instead of round, which is not standard.","If a pizza delivery person were to try to go down a normal firestation poll (the circle), the pizza might be physically caught on the top floor. The joke is that this new shaped hole would fit a pizza box better, and the firemen are surprised that, even though they sometimes order pizza, that the pizza delivery guy got an entire square pole carved for him.",['What do the firefighters think about the square holes?']
33,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x660 at 0x12BBCAB60>,This is when I start questioning all my life decisions.,754,bad,,,,,,
34,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x637 at 0x12BBCAC20>,"No, you grow up.",558,finalist,,,,,,
35,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x637 at 0x12BBCAC20>,Get me room service.,558,bad,,,,,,
36,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x280 at 0x12BBCAB00>,"To be fair, Martha, you started it.",35,finalist,,,,,,
37,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x280 at 0x12BBCAB00>,"Actually, the correct term is strangulation.",35,bad,,,,,,
38,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x392 at 0x12BBCA6B0>,"You're sure they can't hear or see us, right?",561,bad,,,,,,
39,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x392 at 0x12BBCA6B0>,This was more romantic in Lady and the Tramp.,561,finalist,,,,,,
40,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x674 at 0x12BBCABC0>,"Oh, no. I have its little one in my backpack.",685,winner,"scene: the forest description: Two backpackers are startled by a large honey bottle shaped like a bear. The bear looks angry like it caught then doing something. uncanny: Bears are not the shape of honey bottles found in stores. entities: Bear, Honey. caption: Oh, no. I have its little one in my backpack.",Two backpackers are startled by a large honey bottle shaped like a bear. The bear looks angry like it caught then doing something.,the forest,Bears are not the shape of honey bottles found in stores.,"Hikers sometimes carry honey, which often comes in a tiny bear-shaped bottle. Here, a giant bear-shaped honey bottle is angry at the hikers; the joke is that the tiny bear-shaped bottles are the child of these bears, which provides justification for the mother bear to be angry.",['Why is the honey bottle in the woods?']
41,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x674 at 0x12BBCABC0>,I am never going on another Bumble date ever again.,685,bad,,,,,,
42,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x193 at 0x12BBCADA0>,"I'm going to let you off with a warning, since you have no prior history.",91,finalist,,,,,,
43,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x193 at 0x12BBCADA0>,I recommend just paying the fine. It's so easy a caveman could do it.,91,bad,,,,,,
44,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x349 at 0x12BBCADD0>,Just come to bed and kill yourself in the morning.,150,finalist,,,,,,
45,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x349 at 0x12BBCADD0>,"Let's face it George, success has never come easy.",150,bad,,,,,,
46,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x594 at 0x12BBCAD70>,You wanna go somewhere else?,757,bad,,,,,,
47,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x594 at 0x12BBCAD70>,I think the weather's turning on us.,757,finalist,,,,,,
48,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x359 at 0x12BBCB010>,I didn't expect to gain weight on this cruise.,180,finalist,,,,,,
49,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x359 at 0x12BBCB010>,Do you like pina coladas and taking walks in the rain?,180,bad,,,,,,
50,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=750x583 at 0x12BBCB070>,"Not so fun when you're the one being charged, is it?",430,winner,"scene: an office description: A woman is interviewing for a job. The one interviewing her is an angry bull. uncanny: Bulls don't work in offices. entities: Bull, Bullfighter. caption: Not so fun when you're the one being charged, is it?",A woman is interviewing for a job. The one interviewing her is an angry bull.,an office,Bulls don't work in offices.,"A play on the word ""charged"". Generally, bulls charge towards bull fighters in the bullring, sometimes causing injury to the person. But, here the person is charging the bull in a legal sense with a lawsuit, likely related to the literal physical charging the fighter endured in the ring.",['Why is the bull so angry?']
51,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=750x583 at 0x12BBCB070>,Of course I knew your dad. We worked together at Merrill.,430,bad,,,,,,
52,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x395 at 0x12BBCB220>,No. Our Water Resources Department is in the home office.,194,bad,,,,,,
53,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x395 at 0x12BBCB220>,"Just so we're straight, this is a billable mirage.",194,finalist,,,,,,
54,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x464 at 0x12BBCB130>,"But, first, a word on foot odor.",215,winner,"scene: a boxing ring description: Two giant boxers are in a ring. A ref is between them. uncanny: Either the ref and ring are tiny, or the boxers are huge. entities: Gigantism, Referee. caption: But, first, a word on foot odor.",Two giant boxers are in a ring. A ref is between them.,a boxing ring,"Either the ref and ring are tiny, or the boxers are huge.","A joke about an apparent sponsor of this boxing match: some type of anti-foot odor product. There are often sponsors for boxing matches, and a funny, topical one for these giants would be a product to fight foot odor because the boxing referee has to physically interact with their feet moreso than usual boxers. So: the announcer has a personal incentive to endorse the product: their giant feet smell bad and he's next to them.",['Why are they bothering to stand in the ring?']
55,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x464 at 0x12BBCB130>,I promise not to look up,215,bad,,,,,,
56,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x464 at 0x12BBCB3A0>,"And, in this corner, also hailing from Chernobyl...",215,finalist,,,,,,
57,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x464 at 0x12BBCB3A0>,The rules were clear gentlemen - underwear mandatory.,215,bad,,,,,,
58,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=759x578 at 0x12BBCB0A0>,My hobby? Jackhammering. Why?,349,bad,,,,,,
59,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=759x578 at 0x12BBCB0A0>,"Best decaf in town, Dolores.",349,finalist,,,,,,
60,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x697 at 0x12BBCB370>,I made sure to put your friends in the placebo group,730,bad,,,,,,
61,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x697 at 0x12BBCB370>,I bet you also had to be twice as smart as the men.,730,finalist,,,,,,
62,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x594 at 0x12BBCB460>,"So, how long will your mother stay?",757,bad,,,,,,
63,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x594 at 0x12BBCB460>,"Don't worry, it's just a front.",757,winner,"scene: a park description: A couple is having a picnic in a park, along with others. Some threatening storm clouds are approaching. uncanny: The cloud has a man's face. entities: Storm, Cloud. caption: Don't worry, it's just a front.","A couple is having a picnic in a park, along with others. Some threatening storm clouds are approaching.",a park,The cloud has a man's face.,"A play on words: to ""put up a front"" means to pretend to be someone you're not --- in this case, a tough person. ""A front"" can also refer to a weather front, where pressure differentials lead to storms. The clouds are both a weather front and are putting up a front of toughness--- the people aren't worried because the clouds are just posturing and the storm won't be that bad.",['Are they going to leave the park?']
64,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x500 at 0x12BBCB610>,He raced out,361,bad,,,,,,
65,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x500 at 0x12BBCB610>,It's a Toy!,361,finalist,,,,,,
66,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x288 at 0x12BBCB4F0>,"7, 8, 9... Get it? 7, 8, 9!",6,bad,,,,,,
67,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=400x288 at 0x12BBCB4F0>,"It's me....""9""....from yoga class.",6,finalist,,,,,,
68,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x482 at 0x12BBCB700>,They flew early in for Sid's 10:00.,564,bad,,,,,,
69,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x482 at 0x12BBCB700>,"Gladys, get me a BLT and nine mice.",564,finalist,,,,,,
70,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x196 at 0x12BBCB5B0>,I didn't even know that you liked French food.,139,bad,,,,,,
71,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x196 at 0x12BBCB5B0>,If he wasn't an internist he is now.,139,winner,"scene: a field description: Two lions are talking in a field. There is a bunch of doctor's instruments strewn on the ground. uncanny: A doctor's instruments are randomly in the Serengeti. entities: Man-eater, Physician, Predation. caption: If he wasn't an internist he is now.",Two lions are talking in a field. There is a bunch of doctor's instruments strewn on the ground.,a field,A doctor's instruments are randomly in the Serengeti.,"A play on the word ""internal"" --- an ""internist"" is a ""doctor of internal medicine;"" because the lion has eaten the doctor, he is internal to the lion's stomach. So, if he wasn't an ""internal"" medicine doctor before being eaten, he's ""internal"" now.",['What happened to the owner of the stuff?']
72,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BBCB820>,That's what happens to whistle-blowers,467,bad,,,,,,
73,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BBCB820>,Never ever put me in assisted living.,467,finalist,,,,,,
74,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=792x612 at 0x12BBCBBB0>,I didn't think the decision was that earth shattering.,176,bad,,,,,,
75,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=792x612 at 0x12BBCBBB0>,This is what I get for convicting the janitor.,176,winner,"scene: a courtroom description: A judge is looking over a courtroom. All the furniture and other debris are strewn about. uncanny: Courtrooms are very orderly and never this messy. entities: Damages, Judge. caption: This is what I get for convicting the janitor.",A judge is looking over a courtroom. All the furniture and other debris are strewn about.,a courtroom,Courtrooms are very orderly and never this messy.,"A joke about how janitors are under-appreciated. The judge sentenced the janitor to a prison sentence, rendering the janitor unable to clean the courtroom. So --- the judge regrets his decision, because, as a result of not being cleaned by the janitor, the room is  a total mess.",['Did a tornado come through the room?']
76,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x581 at 0x12BBCB910>,It’s mostly water weight.,441,winner,"scene: the sea description: Two fish are speaking with one another underwater. One of the fish is just bones. uncanny: The fish on the left should be dead since it's only bones. entities: Fish, Bone. caption: It’s mostly water weight.",Two fish are speaking with one another underwater. One of the fish is just bones.,the sea,The fish on the left should be dead since it's only bones.,"""Water weight"" is often a reason people cite for being overweight.   But here, the fish skeleton is extremely skinny, so it's a weird but topically fitting thing to say about its weight because they are underwater.",['Why is he only skeleton?']
77,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x581 at 0x12BBCB910>,I met a lawyer.,441,bad,,,,,,
78,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x223 at 0x12BBCB940>,"Oh, did I mention that Timmy fell down the well?",19,finalist,,,,,,
79,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x223 at 0x12BBCB940>,I prefer a hard-cover book for its solidness.,19,bad,,,,,,
80,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x395 at 0x12BBCB880>,"First we discuss my percentage of any water you find, real or imagined.",194,winner,"scene: the desert description: A man, dying of thirst, is approached by another man carrying a suitcase and wearing a suit. The suit man is perfectly fine but the other man is surprised to see him. uncanny: The man in the suit is not bothered by seeing the man dying of thirst. entities: Nomad, Businessperson. caption: First we discuss my percentage of any water you find, real or imagined.","A man, dying of thirst, is approached by another man carrying a suitcase and wearing a suit. The suit man is perfectly fine but the other man is surprised to see him.",the desert,The man in the suit is not bothered by seeing the man dying of thirst.,"Lawyers are known for both being overly formal and also, for their greediness. Instead of helping the man find water as a sane person would do, the lawyer is pre-negotiating a water contract. This joke is a jab at laywers, who are apparently so pragmatic and greedy that they might let someone die of thirst rather than not get their share.",['Why is the suit man not bothered by the other man?']
81,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x395 at 0x12BBCB880>,This is your final notice. Your car warranty is about to expire!,194,bad,,,,,,
82,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=792x589 at 0x12BBCB490>,"Not O.K., Cupid!",416,winner,"scene: a psychiatry office description: A man is sitting on a couch talking to someone who has the appearance of a doctor or a psychologist. Next to the man on the couch is a small creature with wings that looks like cupid. Cupid is very angry and has his arms crossed. The man has been shot with about a dozen arrows to the chest. He is gesturing to the doctor in an effort to explain something. uncanny: It is very unusual to see a person with about a dozen arrows in sticking out of their chest. As well as to see an angry little cupid sitting on a couch going through counseling. entities: Cupid, Arrow. caption: Not O.K., Cupid!",A man is sitting on a couch talking to someone who has the appearance of a doctor or a psychologist. Next to the man on the couch is a small creature with wings that looks like cupid. Cupid is very angry and has his arms crossed. The man has been shot with about a dozen arrows to the chest. He is gesturing to the doctor in an effort to explain something.,a psychiatry office,It is very unusual to see a person with about a dozen arrows in sticking out of their chest. As well as to see an angry little cupid sitting on a couch going through counseling.,"A play on words. ""OKCupid"" is a dating app. Adding a ""not"" in front of ""ok cupid"" turns the app name into a scold that a therapist might say to cupid if cupid were to hit someone with many arrows. It's not okay for cupid to do this presumably because the person with the arrows is too in love, and it's causing them too much anxiety and heartbreak.",['What did the man do to make cupid so unhappy?']
83,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=792x589 at 0x12BBCB490>,I can't stop loving myself,416,bad,,,,,,
84,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x660 at 0x12BBCBCA0>,"Apparently, the one you use says a lot about your personality.",754,finalist,,,,,,
85,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x660 at 0x12BBCBCA0>,This is the point when I realize I'm still asleep in my bunk.,754,bad,,,,,,
86,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x550 at 0x12BBCBFA0>,Hope PETA's happy now!,514,bad,,,,,,
87,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x550 at 0x12BBCBFA0>,"No, you grow up.",514,finalist,,,,,,
88,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x211 at 0x12BBCBC40>,I just love that Green Party candidate.,70,bad,,,,,,
89,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=323x211 at 0x12BBCBC40>,They do say results will vary.,70,winner,"scene: the living room description: Two people are sitting in chairs in a room facing a television. One of the people is an older ""grandma"" aged woman. The other person has lots of hair growing all around their face/head and on their hands/arms. You can't see the person's face. The woman appears to be gesturing to something happening on the TV. uncanny: It's unusual to see a person covered in so much hair that their entire head is obscured. entities: Television, Boredom. caption: They do say results will vary.","Two people are sitting in chairs in a room facing a television. One of the people is an older ""grandma"" aged woman. The other person has lots of hair growing all around their face/head and on their hands/arms. You can't see the person's face. The woman appears to be gesturing to something happening on the TV.",the living room,It's unusual to see a person covered in so much hair that their entire head is obscured.,"The woman is surprisingly dismissive of her partner's extreme side effects from taking a hair growth medication. Usually, for such a medicine, ""results may vary"" is a hedge against hair not regrowing stated in commercials (like the one they are watching for the medication) --- but here, the surprising outcome is that the hair grew too much all over the man's body.","[""Why does the person have so much hair that it obscures their body and why don't they get rid of it?"", ""What is the woman seeing on TV that's more interesting than the person sitting with her that has so much hair?""]"
90,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x456 at 0x12B961C90>,I got tired of my work being grilled at the office.,574,bad,,,,,,
91,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x456 at 0x12B961C90>,Ask the kids how they want their backpacks.,574,finalist,,,,,,
92,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x456 at 0x12B961150>,It looked so much better on Masterchef.,574,bad,,,,,,
93,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x456 at 0x12B961150>,Did I mention I quit my job today?,574,finalist,,,,,,
94,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x333 at 0x12B963460>,I'll write that down for you.,161,bad,,,,,,
95,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x333 at 0x12B963460>,So why did you leave Red Lobster?,161,winner,"scene: an interview description: A man is giving a job interview in his office. The prospetive employee is a giant lobster. uncanny: A giant lobster doesn't belong in an office setting. entities: Lobster, R%C3%A9sum%C3%A9. caption: So why did you leave Red Lobster?",A man is giving a job interview in his office. The prospetive employee is a giant lobster.,an interview,A giant lobster doesn't belong in an office setting.,"During interviews, potential employers like the man in the suit will often ask about why their interviewees left prior positions. In this case, the lobster obviously quit his job at red lobster because a lobster's job at the restaurant is to be eaten.",['What is the job he is applying for?']
96,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x581 at 0x12B960160>,He only wanted me for my body.,441,finalist,,,,,,
97,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x581 at 0x12B960160>,Stay away from Wall Street,441,bad,,,,,,
98,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x638 at 0x12B9602E0>,I don't know protocol...should I wait for everone to be awake?,229,bad,,,,,,
99,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x638 at 0x12B9602E0>,"O.K., counsellor, we heard your argument. Now tell us a story.",229,winner,"scene: a senate hearing description: A man is speaking to the Supreme Court. But their booths are all bed. uncanny: The justices are laying down in bed. entities: Judge, Bed, Nudity. caption: O.K., counsellor, we heard your argument. Now tell us a story.",A man is speaking to the Supreme Court. But their booths are all bed.,a senate hearing,The justices are laying down in bed.,"If the supreme court justices were all trying to go to bed, they might request a bed-time story. This is funny in part because the lawyer, whose job it is to make precise legal arguments, is now being officially called upon to tell the justices a bedtime story. This implies that his argument wasn't really important, and that the justices just wanted to go to sleep.",['What is the man saying?']
100,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=669x563 at 0x12B9620B0>,He's certainly showing his true colors.,315,bad,,,,,,
101,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=669x563 at 0x12B9620B0>,They say jolliness skips a generation.,315,winner,"scene: a city description: There is a green giant rampaging through the city. A man and woman observe him from a nearby building. uncanny: There is a giant and he is green. entities: Green_Giant, Cyclone. caption: They say jolliness skips a generation.",There is a green giant rampaging through the city. A man and woman observe him from a nearby building.,a city,There is a giant and he is green.,"The jolly green giant is usually depicted as jolly; but here, the character is destroying a city. ""Skipping a generation"" implies this may be the son of the jolly green giant; sometimes personality traits parents have that are not present in children are said to ""skip a generation"".","[""Why aren't the man and woman running away?""]"
102,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x337 at 0x12B962E90>,"Let's meet in my office, weather permitting.",201,finalist,,,,,,
103,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=465x337 at 0x12B962E90>,"Other than me, the entire 12th floor was downsized.",201,bad,,,,,,
